cores,pkt_sz,target_rate,target_pps,rate_median,rate_mean,pps_median,pps_mean,rate_95ci,pps_95ci
1,64,0.1,195.3125,0.09321672727272727,0.09321672727272727,145.5,145.5,0.00025163636363637054,0.09090909090906507
3,64,0.1,195.3125,0.09321672727272727,0.09321672727272727,145.5,145.5,0.00025163636363637054,0.09090909090906507
5,64,0.1,195.3125,0.09321345454545454,0.09321345454545454,145.5,145.5,0.000245090909090917,0.09090909090906507
7,64,0.1,195.3125,0.09309090909090909,0.09309090909090909,145.45454545454547,145.45454545454547,0.0,0.0
1,256,0.1,48.828125,0.08353527272727274,0.08353527272727274,40.77272727272727,40.77272727272727,0.00025163636363635666,0.09090909090909349
3,256,0.1,48.828125,0.08353527272727274,0.08353527272727274,40.77272727272727,40.77272727272727,0.00025163636363635666,0.09090909090909349
5,256,0.1,48.828125,0.083532,0.083532,40.77272727272727,40.77272727272727,0.00024509090909090314,0.09090909090909349
7,256,0.1,48.828125,0.08340945454545455,0.08340945454545455,40.72727272727273,40.72727272727273,0.0,0.0
1,512,0.1,24.4140625,0.07161963636363636,0.07161963636363636,17.5,17.5,0.00025163636363637054,0.09090909090909349
3,512,0.1,24.4140625,0.07149381818181817,0.07149381818181817,17.454545454545453,17.454545454545453,0.0,0.0
5,512,0.1,24.4140625,0.07161636363636363,0.07161636363636363,17.5,17.5,0.000245090909090917,0.09090909090909349
7,512,0.1,24.4140625,0.07161636363636363,0.07161636363636363,17.5,17.5,0.000245090909090917,0.09090909090909349
1,1518,0.1,8.234519104084322,0.12542981818181817,0.12542981818181817,10.363636363636363,10.363636363636363,0.025643636363636355,2.1818181818181817
3,1518,0.1,8.234519104084322,0.11592,0.11592,9.545454545454545,9.545454545454545,0.028703999999999993,2.3636363636363633
5,1518,0.1,8.234519104084322,0.11383454545454545,0.11383454545454545,9.409090909090908,9.409090909090908,0.013002909090909093,1.0
7,1518,0.1,8.234519104084322,0.11549054545454546,0.11549054545454546,9.545454545454547,9.545454545454547,0.01852290909090909,1.454545454545455
