cores,pkt_sz,target_rate,target_pps,rate_median,rate_mean,pps_median,pps_mean,rate_95ci,pps_95ci
1,64,0.1,195.3125,0.09309090909090909,0.09309090909090909,145.45454545454547,145.45454545454547,0.0,0.0
3,64,0.1,195.3125,0.09309090909090909,0.09309090909090909,145.45454545454547,145.45454545454547,0.0,0.0
5,64,0.1,195.3125,nan,nan,nan,nan,nan,nan
1,256,0.1,48.828125,0.08365781818181818,0.08365781818181818,40.81818181818182,40.81818181818182,6.545454545453522e-06,0.0
3,256,0.1,48.828125,0.083532,0.083532,40.77272727272727,40.77272727272727,0.00024509090909090314,0.09090909090909349
5,256,0.1,48.828125,nan,nan,nan,nan,nan,nan
1,512,0.1,24.4140625,0.07174218181818182,0.07174218181818182,17.545454545454547,17.545454545454547,6.545454545453522e-06,0.0
3,512,0.1,24.4140625,0.07161636363636363,0.07161636363636363,17.5,17.5,0.000245090909090917,0.09090909090909349
5,512,0.1,24.4140625,nan,nan,nan,nan,nan,nan
1,1518,0.1,8.234519104084322,0.14156036363636365,0.14156036363636365,11.727272727272727,11.727272727272727,6.545454545453522e-06,0.0
3,1518,0.1,8.234519104084322,0.14156036363636365,0.14156036363636365,11.727272727272727,11.727272727272727,6.545454545453522e-06,0.0
5,1518,0.1,8.234519104084322,nan,nan,nan,nan,nan,nan
